project_name_en,ejari_property_sub_type_en,average_prices_per_development
Continental Tower,3 bed rooms+hall,151764.6037735849
Continental Tower,Shop,309468.75
Creek Beach - Bayshore,1bed room+Hall,87476.0303030303
Creek Beach - Bayshore,2 bed rooms+hall,119583.33333333333
Creek Beach - Bayshore,3 bed rooms+hall,164526.32
Creek Beach - Bayshore,Shop,245483.0
Creek Beach - Breeze,1bed room+Hall,99005.88888888889
Creek Beach - Breeze,2 bed rooms+hall,141381.33333333334
Creek Beach - Breeze,3 bed rooms+hall,241613.52631578947
Creek Beach - Breeze,4 bed rooms+hall,280000.0
Creek Beach - Summer,1bed room+Hall,82944.95412844037
Creek Beach - Summer,2 bed rooms+hall,123561.08823529411
Creek Beach - Summer,3 bed rooms+hall,170360.24
Creek Beach - Summer,Nursery,444814.0
Creek Beach - Summer,Pharmacy,175037.0
Creek Beach - Summer,Shop,564498.75
Creek Beach - Sunset,1bed room+Hall,87671.875
Creek Beach - Sunset,2 bed rooms+hall,132684.76
Creek Beach - Sunset,3 bed rooms+hall,211750.0
Creek Beach - Sunset,4 bed rooms+hall,290000.0
Creek Beach - Sunset,Shop,426410.5
Creek Beach - Surf,1bed room+Hall,84890.44444444444
Creek Beach - Surf,2 bed rooms+hall,122348.25
Creek Beach - Surf,3 bed rooms+hall,171206.6
Creek Beach - Surf,Shop,209112.0
Creek Beach - VIDA Residences,1bed room+Hall,102516.86842105263
Creek Beach - VIDA Residences,2 bed rooms+hall,153599.2068965517
Creek Beach - VIDA Residences,3 bed rooms+hall,350000.0
Creek Beach - VIDA Residences,Shop,94552.0
Creek Gate,1bed room+Hall,79367.871657754
Creek Gate,2 bed rooms+hall,107338.70760233919
Creek Gate,3 bed rooms+hall,173773.71296296295
Creek Gate,4 bed rooms+hall,338750.0
Creek Gate,Nursery,488717.0
Creek Gate,Shop,141126.88888888888
D1,1bed room+Hall,96044.28707224334
D1,2 bed rooms+hall,124464.89024390244
D1,3 bed rooms+hall,157457.30147058822
D1,4 bed rooms+hall,266967.546875
D1,5 bed rooms+hall,315000.0
D1,Office,82194.66666666667
D1,Restaurant,148629.0
D1,Shop,281732.3846153846
D1,Studio,64309.48292682927
DAMAC HEIGHTS,1bed room+Hall,92949.73760144274
DAMAC HEIGHTS,2 bed rooms+hall,140786.77722152692
DAMAC HEIGHTS,3 bed rooms+hall,183860.24761904762
DAMAC HEIGHTS,4 bed rooms+hall,228000.0
DAMAC HEIGHTS,Shop,215173.4
DAMAC HILLS (2)  - SANCTNARY,2 bed rooms+hall,58274.857142857145
DAMAC HILLS (2)  - SANCTNARY,3 bed rooms+hall,66855.60070052539
DAMAC HILLS (2)  - SANCTNARY,4 bed rooms+hall,81362.875
DAMAC HILLS (2)  - SANCTNARY,6 bed rooms+hall,133484.84848484848
DAMAC HILLS (2) - ACUNA,3 bed rooms+hall,135000.0
DAMAC HILLS (2) - ACUNA,6 bed rooms+hall,145872.3404255319
DAMAC HILLS (2) - ALBIZIA,3 bed rooms+hall,52750.96177237185
DAMAC HILLS (2) - AMARGO,1bed room+Hall,57727.0
DAMAC HILLS (2) - AMARGO,3 bed rooms+hall,55590.11754684838
DAMAC HILLS (2) - AMARGO,4 bed rooms+hall,95000.0
DAMAC HILLS (2) - AMARGO,5 bed rooms+hall,88193.96551724138
DAMAC HILLS (2) - AMAZONIA,3 bed rooms+hall,73516.84444444445
DAMAC HILLS (2) - AMAZONIA,4 bed rooms+hall,80818.18181818182
DAMAC HILLS (2) - AMAZONIA,5 bed rooms+hall,101958.33333333333
DAMAC HILLS (2) - AMAZONIA-EX,3 bed rooms+hall,54600.39115646258
DAMAC HILLS (2) - AQUILEGIA,3 bed rooms+hall,72081.50216450216
DAMAC HILLS (2) - AQUILEGIA,4 bed rooms+hall,210000.0
DAMAC HILLS (2) - AQUILEGIA,6 bed rooms+hall,182647.25
DAMAC HILLS (2) - AQUILEGIA,7 bed rooms+hall,130000.0
DAMAC HILLS (2) - ASTER,3 bed rooms+hall,73674.74909747293
DAMAC HILLS (2) - ASTER,4 bed rooms+hall,90331.75
DAMAC HILLS (2) - ASTER,5 bed rooms+hall,100623.65
DAMAC HILLS (2) - ASTER,6 bed rooms+hall,151053.66666666666
DAMAC HILLS (2) - AVENCIA,1bed room+Hall,40650.87719298246
DAMAC HILLS (2) - AVENCIA-2,3 bed rooms+hall,60614.303258145366
DAMAC HILLS (2) - AVENCIA-2,4 bed rooms+hall,62227.0990990991
DAMAC HILLS (2) - BASSWOOD,3 bed rooms+hall,52706.09459459459
DAMAC HILLS (2) - CAMELIA,3 bed rooms+hall,91634.35714285714
DAMAC HILLS (2) - CENTAURY,2 bed rooms+hall,66441.74626865672
DAMAC HILLS (2) - CENTAURY,3 bed rooms+hall,76031.55208333333
DAMAC HILLS (2) - CENTAURY,4 bed rooms+hall,80000.0
DAMAC HILLS (2) - CENTAURY,6 bed rooms+hall,157833.33333333334
DAMAC HILLS (2) - CLARET,1bed room+Hall,67500.0
DAMAC HILLS (2) - CLARET,3 bed rooms+hall,68687.45073891626
DAMAC HILLS (2) - CLARET,4 bed rooms+hall,84178.2688172043
DAMAC HILLS (2) - CLARET,5 bed rooms+hall,93059.96428571429
DAMAC HILLS (2) - CLARET,6 bed rooms+hall,141755.84745762713
DAMAC HILLS (2) - COURSETIA,3 bed rooms+hall,73197.31547619047
DAMAC HILLS (2) - COURSETIA,4 bed rooms+hall,91873.45283018867
DAMAC HILLS (2) - COURSETIA,5 bed rooms+hall,104000.0
DAMAC HILLS (2) - COURSETIA,6 bed rooms+hall,160324.7894736842
DAMAC HILLS (2) - JANUSIA,2 bed rooms+hall,62728.44117647059
DAMAC HILLS (2) - JANUSIA,3 bed rooms+hall,72202.9257003654
DAMAC HILLS (2) - JANUSIA,4 bed rooms+hall,85714.28571428571
DAMAC HILLS (2) - JANUSIA,6 bed rooms+hall,148811.28125
DAMAC HILLS (2) - JUNIPER,1bed room+Hall,85166.66666666667
DAMAC HILLS (2) - JUNIPER,3 bed rooms+hall,67220.51371571072
DAMAC HILLS (2) - JUNIPER,4 bed rooms+hall,81544.68224299066
DAMAC HILLS (2) - JUNIPER,5 bed rooms+hall,90336.87121212122
DAMAC HILLS (2) - JUNIPER,6 bed rooms+hall,152821.46774193548
DAMAC HILLS (2) - MIMOSA,3 bed rooms+hall,53190.22747415066
DAMAC HILLS (2) - MULBERRY,3 bed rooms+hall,88929.69791666667
DAMAC HILLS (2) - MULBERRY,4 bed rooms+hall,109285.71428571429
DAMAC HILLS (2) - MULBERRY,5 bed rooms+hall,132000.0
DAMAC HILLS (2) - MULBERRY,6 bed rooms+hall,171000.0
DAMAC HILLS (2) - NAVITAS,1bed room+Hall,34850.0
DAMAC HILLS (2) - NAVITAS,Shop,182096.66666666666
DAMAC HILLS (2) - NAVITAS (A & B),1bed room+Hall,37940.6186440678
DAMAC HILLS (2) - NAVITAS (A & B),2 bed rooms+hall,60888.88888888889
DAMAC HILLS (2) - NAVITAS (A & B),Studio,32000.0
DAMAC HILLS (2) - ODORA,3 bed rooms+hall,82482.81707317074
DAMAC HILLS (2) - ODORA,6 bed rooms+hall,264290.0
DAMAC HILLS (2) - PACIFICA,2 bed rooms+hall,66260.93303571429
DAMAC HILLS (2) - PACIFICA,3 bed rooms+hall,78210.99481193256
DAMAC HILLS (2) - PACIFICA,4 bed rooms+hall,85874.5
DAMAC HILLS (2) - PACIFICA,6 bed rooms+hall,134500.0
DAMAC HILLS (2) - PRIMROSE,2 bed rooms+hall,60000.0
DAMAC HILLS (2) - PRIMROSE,3 bed rooms+hall,68755.44243792325
DAMAC HILLS (2) - PRIMROSE,4 bed rooms+hall,86525.38036809817
DAMAC HILLS (2) - PRIMROSE,5 bed rooms+hall,92984.23300970874
DAMAC HILLS (2) - PRIMROSE,6 bed rooms+hall,155164.7191011236
DAMAC HILLS (2) - SYCAMORE,3 bed rooms+hall,74877.39692307693
DAMAC HILLS (2) - SYCAMORE,6 bed rooms+hall,141945.11538461538
DAMAC HILLS (2) - TRIXIS,3 bed rooms+hall,72997.33695652174
DAMAC HILLS (2) - TRIXIS,4 bed rooms+hall,81368.0303030303
DAMAC HILLS (2) - TRIXIS,5 bed rooms+hall,102997.93333333333
DAMAC HILLS (2) - TRIXIS,6 bed rooms+hall,132407.05555555556
DAMAC HILLS (2) - VARDON,3 bed rooms+hall,51020.27033492823
DAMAC HILLS (2) - VARDON,4 bed rooms+hall,48975.0
DAMAC HILLS (2) - VARDON,6 bed rooms+hall,136046.45833333334
DAMAC HILLS (2) - VICTORIA,3 bed rooms+hall,58229.654185022024
DAMAC HILLS (2) - VICTORIA,4 bed rooms+hall,60648.368
DAMAC HILLS (2) - VIRIDIS,1bed room+Hall,39184.03351955307
DAMAC HILLS (2) - VIRIDIS,2 bed rooms+hall,56584.02777777778
DAMAC HILLS (2) - VIRIDIS,Hotel,38179.01351351351
DAMAC HILLS (2) - VIRIDIS,Shop,168374.35294117648
DAMAC HILLS (2) - VIRIDIS,Studio,28651.69786535304
DAMAC HILLS (2) - ZINNIA,3 bed rooms+hall,77774.7109375
DAMAC HILLS (2) - ZINNIA,4 bed rooms+hall,90259.97674418605
DAMAC HILLS (2) - ZINNIA,5 bed rooms+hall,108750.0
DAMAC HILLS (2) - ZINNIA,6 bed rooms+hall,174320.16666666666
DAMAC HILLS -  RICHMOND,3 bed rooms+hall,129300.20558375634
DAMAC HILLS -  RICHMOND,4 bed rooms+hall,165000.0
DAMAC HILLS -  RICHMOND,5 bed rooms+hall,197916.66666666666
DAMAC HILLS -  TOPANGA,3 bed rooms+hall,124311.78649237473
DAMAC HILLS -  TOPANGA,4 bed rooms+hall,107507.28571428571
DAMAC HILLS -  TOPANGA,5 bed rooms+hall,375000.0
DAMAC HILLS - ARTESIA,1bed room+Hall,65939.74891774892
DAMAC HILLS - ARTESIA,2 bed rooms+hall,100291.97222222222
DAMAC HILLS - ARTESIA,3 bed rooms+hall,145850.4827586207
DAMAC HILLS - ARTESIA,Hotel,60750.0
DAMAC HILLS - ARTESIA,Shop,298481.2083333333
DAMAC HILLS - ARTESIA,Studio,41327.59279279279
DAMAC HILLS - BROOKFIELD-1,3 bed rooms+hall,141904.18181818182
DAMAC HILLS - BROOKFIELD-1,4 bed rooms+hall,166365.15853658537
DAMAC HILLS - BROOKFIELD-1,5 bed rooms+hall,183494.54545454544
DAMAC HILLS - BROOKFIELD-2,3 bed rooms+hall,142085.78640776698
DAMAC HILLS - BROOKFIELD-2,4 bed rooms+hall,163645.93902439025
DAMAC HILLS - BROOKFIELD-2,5 bed rooms+hall,182799.58653846153
DAMAC HILLS - BROOKFIELD-3,5 bed rooms+hall,276479.0535714286
DAMAC HILLS - CALERO,3 bed rooms+hall,123404.55813953489
DAMAC HILLS - CALERO,4 bed rooms+hall,220995.8
DAMAC HILLS - CARSON,1bed room+Hall,57505.74834437086
DAMAC HILLS - CARSON,2 bed rooms+hall,93963.88741721855
DAMAC HILLS - CARSON,3 bed rooms+hall,32666.666666666668
DAMAC HILLS - CARSON,Shop,399878.22222222225
DAMAC HILLS - CARSON,Studio,34490.73577235772
DAMAC HILLS - GOLF HORIZON,1bed room+Hall,57038.54895104895
DAMAC HILLS - GOLF HORIZON,2 bed rooms+hall,102063.23417721518
DAMAC HILLS - GOLF HORIZON,3 bed rooms+hall,116496.9696969697
DAMAC HILLS - GOLF HORIZON,Studio,34447.1829787234
DAMAC HILLS - GOLF PANORAMA,1bed room+Hall,56645.32567049808
DAMAC HILLS - GOLF PANORAMA,2 bed rooms+hall,93398.45967741935
DAMAC HILLS - GOLF PANORAMA,3 bed rooms+hall,128694.94444444444
DAMAC HILLS - GOLF PANORAMA,Studio,35636.68421052631
DAMAC HILLS - GOLF PROMENADE,1bed room+Hall,60270.87871130765
DAMAC HILLS - GOLF PROMENADE,2 bed rooms+hall,102185.10050251256
DAMAC HILLS - GOLF PROMENADE,3 bed rooms+hall,123672.78864353312
DAMAC HILLS - GOLF PROMENADE,Shop,60000.0
DAMAC HILLS - GOLF PROMENADE,Studio,38644.23391812865
DAMAC HILLS - GOLF TERRACE,1bed room+Hall,62359.529126213594
DAMAC HILLS - GOLF TERRACE,2 bed rooms+hall,96125.65217391304
DAMAC HILLS - GOLF TERRACE,3 bed rooms+hall,135951.39130434784
DAMAC HILLS - GOLF TERRACE,Hotel,57125.0
DAMAC HILLS - GOLF TERRACE,Shop,83759.4
DAMAC HILLS - GOLF TERRACE,Studio,40081.35256410256
DAMAC HILLS - GOLF VEDUTA,1bed room+Hall,62690.6
DAMAC HILLS - GOLF VEDUTA,2 bed rooms+hall,101044.44927536232
DAMAC HILLS - GOLF VEDUTA,3 bed rooms+hall,141084.5306122449
DAMAC HILLS - GOLF VEDUTA,5 bed rooms+hall,135000.0
DAMAC HILLS - GOLF VEDUTA,Duplex,150000.0
DAMAC HILLS - GOLF VEDUTA,Hotel,60942.307692307695
DAMAC HILLS - GOLF VEDUTA,Office,71000.0
DAMAC HILLS - GOLF VEDUTA,Shop,116314.57142857143
DAMAC HILLS - GOLF VEDUTA,Studio,41251.27464788732
DAMAC HILLS - GOLF VISTA,1bed room+Hall,58340.80991735537
DAMAC HILLS - GOLF VISTA,2 bed rooms+hall,92183.07975460123
DAMAC HILLS - GOLF VISTA,3 bed rooms+hall,118432.63333333333
DAMAC HILLS - GOLF VISTA,Studio,35250.33606557377
DAMAC HILLS - GOLF VITA,1bed room+Hall,37383.52290076336
DAMAC HILLS - GOLF VITA,2 bed rooms+hall,59864.0
DAMAC HILLS - GOLF VITA,Studio,33131.25
DAMAC HILLS - JASMINE,1bed room+Hall,53541.40833333333
DAMAC HILLS - JASMINE,2 bed rooms+hall,87028.1
DAMAC HILLS - JASMINE,3 bed rooms+hall,218330.35714285713
DAMAC HILLS - JASMINE,Studio,30757.5
DAMAC HILLS - LONGVIEW,3 bed rooms+hall,133105.2474226804
DAMAC HILLS - LONGVIEW,4 bed rooms+hall,120700.0
DAMAC HILLS - LONGVIEW,5 bed rooms+hall,189599.96
DAMAC HILLS - LONGVIEW,6 bed rooms+hall,232500.0
DAMAC HILLS - LORETO,1bed room+Hall,55188.921151439295
DAMAC HILLS - LORETO,2 bed rooms+hall,95559.76991150442
DAMAC HILLS - LORETO,3 bed rooms+hall,130862.16176470589
DAMAC HILLS - LORETO,Studio,33862.72141372141
DAMAC HILLS - ORCHID,1bed room+Hall,55429.85024154589
DAMAC HILLS - ORCHID,2 bed rooms+hall,96771.84444444445
DAMAC HILLS - ORCHID,3 bed rooms+hall,151400.0
DAMAC HILLS - ORCHID,Studio,32790.486725663715
DAMAC HILLS - PHOENIX,3 bed rooms+hall,119397.24427480916
DAMAC HILLS - PHOENIX,5 bed rooms+hall,179000.0
DAMAC HILLS - PHOENIX,6 bed rooms+hall,197777.77777777778
DAMAC HILLS - PICCADILLY GREEN,3 bed rooms+hall,215226.88976377953
DAMAC HILLS - PICCADILLY GREEN,4 bed rooms+hall,237814.82716049382
DAMAC HILLS - PICCADILLY GREEN,5 bed rooms+hall,284839.4025974026
DAMAC HILLS - PICCADILLY GREEN,6 bed rooms+hall,406250.0
DAMAC HILLS - QUEENS MEADOW,3 bed rooms+hall,144716.22346368714
DAMAC HILLS - QUEENS MEADOW,4 bed rooms+hall,158704.71212121213
DAMAC HILLS - QUEENS MEADOW,5 bed rooms+hall,183643.22222222222
DAMAC HILLS - QUEENS MEADOW,6 bed rooms+hall,305000.0
DAMAC HILLS - ROCHESTER,3 bed rooms+hall,129021.22222222222
DAMAC HILLS - ROCHESTER,4 bed rooms+hall,158909.0909090909
DAMAC HILLS - ROCKWOOD,3 bed rooms+hall,121675.51556420233
DAMAC HILLS - ROCKWOOD,5 bed rooms+hall,181647.84615384616
DAMAC HILLS - SILVER SPRINGS,2 bed rooms+hall,172222.22222222222
DAMAC HILLS - SILVER SPRINGS,3 bed rooms+hall,148004.47555555555
DAMAC HILLS - SILVER SPRINGS,4 bed rooms+hall,177412.0350877193
DAMAC HILLS - SILVER SPRINGS,5 bed rooms+hall,195622.975
DAMAC HILLS - SILVER SPRINGS,6 bed rooms+hall,499779.55555555556
DAMAC HILLS - SILVER SPRINGS 2,5 bed rooms+hall,280000.0
DAMAC HILLS - SILVER SPRINGS 3,4 bed rooms+hall,268210.5263157895
DAMAC HILLS - THE FIELD,3 bed rooms+hall,144265.78301886792
DAMAC HILLS - THE FIELD,4 bed rooms+hall,163584.79710144928
DAMAC HILLS - THE FIELD,5 bed rooms+hall,260327.10416666666
DAMAC HILLS - THE FIELD,6 bed rooms+hall,325674.8
DAMAC HILLS - THE FLORA,3 bed rooms+hall,147272.9010989011
DAMAC HILLS - THE FLORA,4 bed rooms+hall,176227.4516129032
DAMAC HILLS - THE FLORA,5 bed rooms+hall,296579.0857142857
DAMAC HILLS - THE TRUMP ESTATES 2,5 bed rooms+hall,392000.0
DAMAC HILLS - THE TRUMP ESTATES 3,5 bed rooms+hall,389500.0
DAMAC HILLS - THE TRUMP ESTATES 3,6 bed rooms+hall,1100000.0
DAMAC HILLS - THE TURF,3 bed rooms+hall,142161.625
DAMAC HILLS - THE TURF,4 bed rooms+hall,179428.57142857142
DAMAC HILLS - THE TURF,5 bed rooms+hall,248317.77777777778
DAMAC HILLS - THE TURF,6 bed rooms+hall,210200.0
DAMAC HILLS - TRINITY,3 bed rooms+hall,129888.71906354516
DAMAC HILLS - TRINITY,4 bed rooms+hall,185454.54545454544
DAMAC HILLS - WHITEFIELD,3 bed rooms+hall,149157.60273972602
DAMAC HILLS - WHITEFIELD,4 bed rooms+hall,450000.0
DAMAC HILLS - WHITEFIELD,5 bed rooms+hall,212868.88148148148
DAMAC HILLS -WHITEFIELD-2,5 bed rooms+hall,269487.1794871795
DAMAC HILLS- PELHAM,3 bed rooms+hall,181061.0616621984
DAMAC HILLS- PELHAM,4 bed rooms+hall,173317.60465116278
DAMAC HILLS- PELHAM,5 bed rooms+hall,224076.92307692306
DAMAC HILLS-BEL AIR,4 bed rooms+hall,236333.33333333334
DAMAC HILLS-PARK RESIDENCES 1,2 bed rooms+hall,192988.09523809524
DAMAC HILLS-PARK RESIDENCES 1,3 bed rooms+hall,175789.7435897436
DAMAC HILLS-PARK RESIDENCES 1,4 bed rooms+hall,204718.47727272726
DAMAC HILLS-PARK RESIDENCES 1,5 bed rooms+hall,283333.3333333333
DAMAC HILLS-PARK RESIDENCES 4,2 bed rooms+hall,168062.625
DAMAC HILLS-PARK RESIDENCES 4,3 bed rooms+hall,161892.85714285713
DAMAC HILLS-PARK RESIDENCES 4,4 bed rooms+hall,192794.13333333333
DAMAC HILLS-VENETO,3 bed rooms+hall,168004.125
DAMAC HILLS-VENETO,5 bed rooms+hall,413988.09523809527
DAMAC HILLS-VENETO,6 bed rooms+hall,1096666.6666666667
DAMAC TOWERS BY PARAMOUNT,1bed room+Hall,82884.06283856988
DAMAC TOWERS BY PARAMOUNT,2 bed rooms+hall,122884.41278295606
DAMAC TOWERS BY PARAMOUNT,3 bed rooms+hall,154067.70112781954
DAMAC TOWERS BY PARAMOUNT,Hotel,72500.0
DAMAC TOWERS BY PARAMOUNT,Office,86250.0
DAMAC TOWERS BY PARAMOUNT,Shop,405608.73913043475
DANA TOWER,1bed room+Hall,49661.78269617706
DANA TOWER,2 bed rooms+hall,62105.40573770492
DANA TOWER,Shop,153111.11111111112
DANA TOWER,Studio,37128.913043478264
DAR AL JAWHARA,1bed room+Hall,47314.7
DAR AL JAWHARA,2 bed rooms+hall,71450.41666666667
DAR AL JAWHARA,Shop,59760.72727272727
DAR AL JAWHARA,Studio,35495.35849056604
DAYTONA HOUSE,Office,127073.83783783784
DAYTONA HOUSE,Shop,156997.65789473685
DD BOULEVARD CENTRAL,1bed room+Hall,91864.6960651289
DD BOULEVARD CENTRAL,2 bed rooms+hall,134544.6292286874
DD BOULEVARD CENTRAL,3 bed rooms+hall,176760.12121212122
DD BOULEVARD CENTRAL,Shop,515314.5909090909
DD BOULEVARD CENTRAL,Studio,62025.96715328467
DD STAND POINT,1bed room+Hall,90000.9203187251
DD STAND POINT,2 bed rooms+hall,127719.05141388175
DD STAND POINT,3 bed rooms+hall,179319.1489361702
DD STAND POINT,Shop,668221.6315789474
DD STAND POINT,Studio,65412.21727748691
DESERT SUN TOWER,1bed room+Hall,42003.28903654485
DESERT SUN TOWER,2 bed rooms+hall,35596.25
DESERT SUN TOWER,Shop,314817.3333333333
DESERT SUN TOWER,Studio,29341.892578125
DETROIT HOUSE,Office,105694.27325581395
DETROIT HOUSE,Shop,263002.2833333333
DEZIRE RESIDENCES,1bed room+Hall,43802.24293785311
DEZIRE RESIDENCES,2 bed rooms+hall,63704.808219178085
DEZIRE RESIDENCES,Shop,78922.11111111111
DEZIRE RESIDENCES,Studio,29529.221238938055
DIAMOND BUSINESS CENTER,3 bed rooms+hall,52000.0
DIAMOND BUSINESS CENTER,Clinic,675466.5563909775
DIAMOND BUSINESS CENTER,Office,44316.4837944664
DIAMOND BUSINESS CENTER,Shop,222325.15023474177
DIAMOND SHOPPING MALL,5 bed rooms+hall,257293.0909090909
"DIAMOND VIEW 1,2,3,4",3 bed rooms+hall,111182.81102362205
"DIAMOND VIEW 1,2,3,4",4 bed rooms+hall,134000.0
"DIAMOND VIEW 1,2,3,4",5 bed rooms+hall,162434.47619047618
DIAMOND VIEWS 1,1bed room+Hall,44719.12398373984
DIAMOND VIEWS 1,2 bed rooms+hall,63331.5625
DIAMOND VIEWS 1,3 bed rooms+hall,64500.0
DIAMOND VIEWS 1,Studio,31622.943355119827
DIAMOND VIEWS 1- VILLAS  B,2 bed rooms+hall,102371.25
DIAMOND VIEWS 1- VILLAS  B,3 bed rooms+hall,109111.66666666667
DIAMOND VIEWS 1- VILLAS  B,5 bed rooms+hall,155550.0
DIAMOND VIEWS 1- VILLAS A,2 bed rooms+hall,88866.66666666667
DIAMOND VIEWS 1- VILLAS A,3 bed rooms+hall,119458.33333333333
DIAMOND VIEWS 1- VILLAS A,5 bed rooms+hall,157625.0
DIAMOND VIEWS 2,1bed room+Hall,44691.27188081937
DIAMOND VIEWS 2,2 bed rooms+hall,68149.07339449541
DIAMOND VIEWS 2,Studio,30613.651356993738
DIAMOND VIEWS 3,1bed room+Hall,46792.635585970915
DIAMOND VIEWS 3,2 bed rooms+hall,68627.63636363637
DIAMOND VIEWS 3,3 bed rooms+hall,108547.9802631579
DIAMOND VIEWS 3,4 bed rooms+hall,127100.0
DIAMOND VIEWS 3,Studio,34380.14102564102
DIAMOND VIEWS 3 - VILLAS A,3 bed rooms+hall,104352.71428571429
DIAMOND VIEWS 3 - VILLAS A,5 bed rooms+hall,151790.6875
DIAMOND VIEWS 3 - VILLAS B,3 bed rooms+hall,110549.18918918919
DIAMOND VIEWS 3 - VILLAS B,4 bed rooms+hall,133300.0
DIAMOND VIEWS 3 - VILLAS B,5 bed rooms+hall,86703.66666666667
DIAMOND VIEWS 4,1bed room+Hall,44281.34257206209
DIAMOND VIEWS 4,2 bed rooms+hall,69928.16304347826
DIAMOND VIEWS 4,3 bed rooms+hall,103907.92307692308
DIAMOND VIEWS 4,Studio,33116.21212121212
DIAMOND VIEWS 4 - VILLAS A,3 bed rooms+hall,107633.56603773584
DIAMOND VIEWS 4 - VILLAS A,5 bed rooms+hall,139090.9090909091
DIAMOND VIEWS 4 - VILLAS B,3 bed rooms+hall,112731.76923076923
DIAMOND VIEWS 4 - VILLAS B,5 bed rooms+hall,135000.0
DM MARINA PLAZA,Office,493653.7615176152
DOLCE VITA,1bed room+Hall,70000.0
DOLCE VITA,2 bed rooms+hall,100000.0
DOLCE VITA,Shop,60740.74074074074
DOLCE VITA,Studio,60000.0
DOWNTOWN VIEWS,1bed room+Hall,108723.67741935483
DOWNTOWN VIEWS,2 bed rooms+hall,169974.79935275082
DOWNTOWN VIEWS,3 bed rooms+hall,255896.7088607595
DOWNTOWN VIEWS,4 bed rooms+hall,650000.0
DRAGON VIEW,1bed room+Hall,43800.94285714286
DRAGON VIEW,2 bed rooms+hall,61439.25925925926
DRAGON VIEW,Studio,31917.134969325154
DREAMZ,3 bed rooms+hall,103640.93771626298
DREAMZ,4 bed rooms+hall,119064.63007159905
DT 1,1bed room+Hall,126683.82978723405
DT 1,2 bed rooms+hall,191065.02608695652
DT 1,3 bed rooms+hall,261821.13888888888
DT 1,Shop,578630.1111111111
DT 1,Studio,78205.72972972973
DUBAI ARCH TOWER,1bed room+Hall,69125.22284122562
DUBAI ARCH TOWER,2 bed rooms+hall,93595.77729257641
DUBAI ARCH TOWER,3 bed rooms+hall,132800.077294686
DUBAI ARCH TOWER,4 bed rooms+hall,176068.66666666666
DUBAI ARCH TOWER,Office,291596.6896551724
DUBAI ARCH TOWER,Shop,363940.84210526315
DUBAI ARCH TOWER,Studio,47019.72435233161
DUBAI MARINA,Kiosk,129136.5
DUBAI MARINA,Shop,64966.615702479336
DUBAI MARINA MALL,1bed room+Hall,140409.3
DUBAI MARINA MALL,2 bed rooms+hall,234833.33333333334
DUBAI MARINA MALL,3 bed rooms+hall,293959.8
DUBAI MARINA MALL,4 bed rooms+hall,1570000.0
DUBAI MARINA MALL,Office,91643.47826086957
DUBAI MARINA MALL,Shop,688032.407518797
DUBAI MARINA MALL,Studio,112863.97752808989
DUBAI SPANISH TWIN VILLA,4 bed rooms+hall,118196.72131147541
DUBAI SPANISH TWIN VILLA,5 bed rooms+hall,119444.44444444444
DUBAI STAR,1bed room+Hall,59616.497191011236
DUBAI STAR,2 bed rooms+hall,70139.42105263157
DUBAI STAR,4 bed rooms+hall,123829.75
DUBAI STAR,Office,98280.41666666667
DUBAI STAR,Shop,103868.95652173914
DUBAI STAR,Studio,40148.44642857143
DUBAI WATER FRONT VENETO,5 bed rooms+hall,100000.0
DUBAI WHARF,1bed room+Hall,67213.15803108808
DUBAI WHARF,2 bed rooms+hall,89024.70615384616
DUBAI WHARF,3 bed rooms+hall,119815.76744186046
DUBAI WHARF,Studio,47505.170731707316
DUNES MARIGOLD,1bed room+Hall,50378.62300319489
DUNES MARIGOLD,2 bed rooms+hall,70092.30769230769
DUNES MARIGOLD,Shop,133524.0
DUNES MARIGOLD,Studio,33655.346153846156
DUNES VILLAGE,1bed room+Hall,115685.38418192795
DUNES VILLAGE,2 bed rooms+hall,123241.59375
DUNES VILLAGE,Room,865402.125
DUNES VILLAGE,Studio,82235.3037938025
DURAR1,1bed room+Hall,73887.55710306407
DURAR1,2 bed rooms+hall,91173.55064935065
DURAR1,3 bed rooms+hall,83196.42857142857
DURAR1,Shop,160339.8536585366
DUSIT EMIRATES SARAY,1bed room+Hall,89979.54679802955
DUSIT EMIRATES SARAY,2 bed rooms+hall,134886.4150943396
DUSIT EMIRATES SARAY,3 bed rooms+hall,188508.5730769231
DUSIT EMIRATES SARAY,4 bed rooms+hall,193525.44444444444
DUSIT EMIRATES SARAY,Office,217200.0
DUSIT EMIRATES SARAY,Shop,279122.9130434783
Dolphin Tower,Shop,230000.0
Dorchester Collection Dubai,4 bed rooms+hall,1648000.0
Dorchester Collection Dubai,Shop,2371492.0
Downtown Views II,1bed room+Hall,113730.39759036145
Downtown Views II,2 bed rooms+hall,163038.59880239522
Downtown Views II,3 bed rooms+hall,265490.46616541356
Downtown Views II,4 bed rooms+hall,497500.0
Downtown Views II,Clinic,290405.0
Downtown Views II,Health club,333224.0
Downtown Views II,Shop,157694.66666666666
Downtown Views II,Supermarket,376614.0
Dubai Hills - Hills View Community,7 bed rooms+hall,3000000.0
Dubai Wharf - Tower 1,1bed room+Hall,197232.63366336634
Dubai Wharf - Tower 1,2 bed rooms+hall,222714.12129380053
Dubai Wharf - Tower 1,3 bed rooms+hall,184896.25862068965
Dubai Wharf - Tower 2,1bed room+Hall,65761.09917355372
