project_name_en,ejari_property_sub_type_en,average_prices_per_development
AL HELAL AL ZAHABY BUILDING,Studio,25527.216
AL JAWHARA TOWER,1bed room+Hall,31800.0
AL JAWHARA TOWER,Studio,28453.04498816101
AL JAWZAA,1bed room+Hall,42382.47340425532
AL JAWZAA,2 bed rooms+hall,45572.922865013774
AL JAWZAA,Shop,84481.45833333333
AL JAWZAA,Studio,26678.9945799458
AL KHAIL HEIGHTS,1bed room+Hall,50804.7275242047
AL KHAIL HEIGHTS,2 bed rooms+hall,66654.27622841965
AL KHAIL HEIGHTS,3 bed rooms+hall,79956.72566371682
AL KHAIL HEIGHTS,4 bed rooms+hall,157220.0843373494
AL KHAIL HEIGHTS,5 bed rooms+hall,170445.03712296984
AL KHAIL HEIGHTS,6 bed rooms+hall,158192.42857142858
AL KHAIL HEIGHTS,7 bed rooms+hall,171666.66666666666
AL KHAIL HEIGHTS,Shop,79154.56989247311
AL KHAIL HEIGHTS,Studio,33900.78613527926
AL MANARA,Office,116685.80429812528
AL MANARA,Shop,359965.75
AL MANARAH TOWER,1bed room+Hall,43188.28835978836
AL MANARAH TOWER,2 bed rooms+hall,69317.26373626373
AL MANARAH TOWER,Shop,321222.22222222225
AL MANARAH TOWER,Studio,30480.86784140969
AL MAS TOWER,Office,294070.46153846156
AL MAS TOWER,Shop,211360.46043165468
AL SEEF II,2 bed rooms+hall,122099.106841612
AL SEEF II,3 bed rooms+hall,154190.5254237288
AL SEEF II,5 bed rooms+hall,250203.59375
AL SEEF II,Shop,193918.74657534246
AL WALEED GARDEN 2,1bed room+Hall,81477.27272727272
AL WALEED GARDEN 2,2 bed rooms+hall,125000.0
AL WALEED GARDEN 2,Shop,280000.0
AL WALEED GARDEN 2,Studio,56849.056603773584
ALANDALUS,1bed room+Hall,52023.572164948455
ALANDALUS,2 bed rooms+hall,84310.99245283019
ALANDALUS,3 bed rooms+hall,113352.38028169014
ALANDALUS,4 bed rooms+hall,156498.25
ALANDALUS BUILDING E,1bed room+Hall,81666.66666666667
