year_month,actual_worth
2019-08,9054248078.0
2019-09,15204974061.0
2019-10,22369499736.0
2019-11,17343979008.0
2019-12,23240991146.0
2020-01,13933633567.0
2020-02,17135558385.0
2020-03,15777230358.0
2020-04,5701025619.0
2020-05,5963140130.0
2020-06,11664020983.0
2020-07,27145474757.0
2020-08,11132857717.0
2020-09,18387750360.0
2020-10,14383712349.0
2020-11,13837578602.0
2020-12,15484542080.0
2021-01,28096323869.0
2021-02,15894882593.0
2021-03,24140549459.0
2021-04,21741445332.0
2021-05,18518177274.0
2021-06,30247970304.0
2021-07,18526844026.0
2021-08,25601806831.0
2021-09,30512191925.0
2021-10,24509755477.0
2021-11,28446613973.0
2021-12,27400722927.0
2022-01,21785301129.0
2022-02,22386937955.0
2022-03,42221038807.0
2022-04,27078876642.0
2022-05,26809297550.0
2022-06,37973037718.0
2022-07,50426453951.0
2022-08,35560741723.0
2022-09,48998092626.0
2022-10,33576054094.0
2022-11,131407749778.0
2022-12,41964296138.0
2023-01,51386379987.0
2023-02,55056483358.0
2023-03,49634365693.0
2023-04,37588656148.0
2023-05,45674353831.0
2023-06,43300907884.0
2023-07,49507964647.0
2023-08,59912016164.0
2023-09,49205794987.0
2023-10,67167939462.0
2023-11,68178677630.0
2023-12,57054778149.0
2024-01,65170358686.0
2024-02,48321592328.0
2024-03,52021944234.0
2024-04,49121045483.0
2024-05,67588545242.0
2024-06,61560416136.0
2024-07,72355581901.0
