month,average_counts
1,23199.58823529412
2,32325.176470588234
3,33362.17647058824
4,31241.555555555555
5,29274.0
6,28008.105263157893
7,33086.333333333336
8,30397.0
9,33484.75
10,35526.5
11,34011.25
12,31179.647058823528
